प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
फीचर	0	4	फ	फी	फीच	र	चर	ीचर	1	फ	ी	च	र	_	फी	ीच	चर	र_	__	फीच	ीचर	चर_	र__	___	फीचर	ीचर_	चर__	र___	____	फीचर_	ीचर__	चर___	र____	_____	डिजिटल	प्लस	दिया	गया	0
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	प्लस	फीचर	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	फीचर	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
लेकिन	0	5	ल	ले	लेक	न	िन	किन	0	ल	े	क	ि	न	ले	ेक	कि	िन	न_	लेक	ेकि	किन	िन_	न__	लेकि	ेकिन	किन_	िन__	न___	लेकिन	ेकिन_	किन__	िन___	न____	NULL	NULL	जो	बात	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	NULL	लेकिन	बात	मीडियापैड	0
बात	0	3	ब	बा	बात	त	ात	बात	0	ब	ा	त	_	_	बा	ात	त_	__	__	बात	ात_	त__	___	___	बात_	ात__	त___	____	____	बात__	ात___	त____	_____	_____	लेकिन	जो	मीडियापैड	के	0
मीडियापैड	0	9	म	मी	मीड	ड	ैड	पैड	0	म	ी	ड	ि	य	मी	ीड	डि	िय	या	मीड	ीडि	डिय	िया	याप	मीडि	ीडिय	डिया	ियाप	यापै	मीडिय	ीडिया	डियाप	ियापै	यापैड	जो	बात	के	पक्ष	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	बात	मीडियापैड	पक्ष	में	0
पक्ष	0	4	प	पक	पक्	ष	्ष	क्ष	0	प	क	्	ष	_	पक	क्	्ष	ष_	__	पक्	क्ष	्ष_	ष__	___	पक्ष	क्ष_	्ष__	ष___	____	पक्ष_	क्ष__	्ष___	ष____	_____	मीडियापैड	के	में	जाती	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	के	पक्ष	जाती	है	0
जाती	0	4	ज	जा	जात	ी	ती	ाती	0	ज	ा	त	ी	_	जा	ात	ती	ी_	__	जात	ाती	ती_	ी__	___	जाती	ाती_	ती__	ी___	____	जाती_	ाती__	ती___	ी____	_____	पक्ष	में	है	वो	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	में	जाती	वो	है	0
वो	0	2	व	वो	NULL	ो	वो	NULL	0	व	ो	_	_	_	वो	ो_	__	__	__	वो_	ो__	___	___	___	वो__	ो___	____	____	____	वो___	ो____	_____	_____	_____	जाती	है	है	इसका	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	है	वो	इसका	बढ़िया	0
इसका	1	4	इ	इस	इसक	ा	का	सका	0	इ	स	क	ा	_	इस	सक	का	ा_	__	इसक	सका	का_	ा__	___	इसका	सका_	का__	ा___	____	इसका_	सका__	का___	ा____	_____	वो	है	बढ़िया	डिस्प्ले	0
बढ़िया	0	5	ब	बढ़	बढ़ि	ा	या	िया	0	ब	ढ़	ि	य	ा	बढ़	ढ़ि	िय	या	ा_	बढ़ि	ढ़िय	िया	या_	ा__	बढ़िय	ढ़िया	िया_	या__	ा___	बढ़िया	ढ़िया_	िया__	या___	ा____	है	इसका	डिस्प्ले	अच्छी	0
डिस्प्ले	0	8	ड	डि	डिस	े	ले	्ले	1	ड	ि	स	्	प	डि	िस	स्	्प	प्	डिस	िस्	स्प	्प्	प्ल	डिस्	िस्प	स्प्	्प्ल	प्ले	डिस्प	िस्प्	स्प्ल	्प्ले	प्ले_	इसका	बढ़िया	अच्छी	बैटरी	B_ASP
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	बढ़िया	डिस्प्ले	बैटरी	लाइफ	0
बैटरी	0	5	ब	बै	बैट	ी	री	टरी	1	ब	ै	ट	र	ी	बै	ैट	टर	री	ी_	बैट	ैटर	टरी	री_	ी__	बैटर	ैटरी	टरी_	री__	ी___	बैटरी	ैटरी_	टरी__	री___	ी____	डिस्प्ले	अच्छी	लाइफ	और	B_ASP
लाइफ	0	4	ल	ला	लाइ	फ	इफ	ाइफ	1	ल	ा	इ	फ	_	ला	ाइ	इफ	फ_	__	लाइ	ाइफ	इफ_	फ__	___	लाइफ	ाइफ_	इफ__	फ___	____	लाइफ_	ाइफ__	इफ___	फ____	_____	अच्छी	बैटरी	और	इसमें	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	बैटरी	लाइफ	इसमें	दिए	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	लाइफ	और	दिए	गए	0
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	और	इसमें	गए	स्पीकर्स	0
गए	0	2	ग	गए	NULL	ए	गए	NULL	0	ग	ए	_	_	_	गए	ए_	__	__	__	गए_	ए__	___	___	___	गए__	ए___	____	____	____	गए___	ए____	_____	_____	_____	इसमें	दिए	स्पीकर्स	जिनकी	0
स्पीकर्स	0	8	स	स्	स्प	स	्स	र्स	1	स	्	प	ी	क	स्	्प	पी	ीक	कर	स्प	्पी	पीक	ीकर	कर्	स्पी	्पीक	पीकर	ीकर्	कर्स	स्पीक	्पीकर	पीकर्	ीकर्स	कर्स_	दिए	गए	जिनकी	आवाज़	B_ASP
जिनकी	0	5	ज	जि	जिन	ी	की	नकी	0	ज	ि	न	क	ी	जि	िन	नक	की	ी_	जिन	िनक	नकी	की_	ी__	जिनक	िनकी	नकी_	की__	ी___	जिनकी	िनकी_	नकी__	की___	ी____	गए	स्पीकर्स	आवाज़	काफी	0
आवाज़	0	4	आ	आव	आवा	ज़	ाज़	वाज़	0	आ	व	ा	ज़	_	आव	वा	ाज़	ज़_	__	आवा	वाज़	ाज़_	ज़__	___	आवाज़	वाज़_	ाज़__	ज़___	____	आवाज़_	वाज़__	ाज़___	ज़____	_____	स्पीकर्स	जिनकी	काफी	तेज़	0
काफी	0	4	क	का	काफ	ी	फी	ाफी	0	क	ा	फ	ी	_	का	ाफ	फी	ी_	__	काफ	ाफी	फी_	ी__	___	काफी	ाफी_	फी__	ी___	____	काफी_	ाफी__	फी___	ी____	_____	जिनकी	आवाज़	तेज़	है	0
तेज़	0	3	त	ते	तेज़	ज़	ेज़	तेज़	0	त	े	ज़	_	_	ते	ेज़	ज़_	__	__	तेज़	ेज़_	ज़__	___	___	तेज़_	ेज़__	ज़___	____	____	तेज़__	ेज़___	ज़____	_____	_____	आवाज़	काफी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	काफी	तेज़	NULL	NULL	0
EOL
यह	1	2	य	यह	NULL	ह	यह	NULL	0	य	ह	_	_	_	यह	ह_	__	__	__	यह_	ह__	___	___	___	यह__	ह___	____	____	____	यह___	ह____	_____	_____	_____	NULL	NULL	टेबलेट	8	0
टेबलेट	0	6	ट	टे	टेब	ट	ेट	लेट	0	ट	े	ब	ल	े	टे	ेब	बल	ले	ेट	टेब	ेबल	बले	लेट	ेट_	टेबल	ेबले	बलेट	लेट_	ेट__	टेबले	ेबलेट	बलेट_	लेट__	ेट___	NULL	यह	8	जीबी	0
8	0	1	8	NULL	NULL	8	NULL	NULL	0	8	_	_	_	_	8_	__	__	__	__	8__	___	___	___	___	8___	____	____	____	____	8____	_____	_____	_____	_____	यह	टेबलेट	जीबी	/	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	टेबलेट	8	/	16	0
/	0	1	/	NULL	NULL	/	NULL	NULL	0	/	_	_	_	_	/_	__	__	__	__	/__	___	___	___	___	/___	____	____	____	____	/____	_____	_____	_____	_____	8	जीबी	16	जीबी	0
16	0	2	1	16	NULL	6	16	NULL	0	1	6	_	_	_	16	6_	__	__	__	16_	6__	___	___	___	16__	6___	____	____	____	16___	6____	_____	_____	_____	जीबी	/	जीबी	/	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	/	16	/	32	0
/	0	1	/	NULL	NULL	/	NULL	NULL	0	/	_	_	_	_	/_	__	__	__	__	/__	___	___	___	___	/___	____	____	____	____	/____	_____	_____	_____	_____	16	जीबी	32	जीबी	0
32	0	2	3	32	NULL	2	32	NULL	0	3	2	_	_	_	32	2_	__	__	__	32_	2__	___	___	___	32__	2___	____	____	____	32___	2____	_____	_____	_____	जीबी	/	जीबी	स्टोरेज	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	/	32	स्टोरेज	क्षमता	0
स्टोरेज	0	7	स	स्	स्ट	ज	ेज	रेज	1	स	्	ट	ो	र	स्	्ट	टो	ोर	रे	स्ट	्टो	टोर	ोरे	रेज	स्टो	्टोर	टोरे	ोरेज	रेज_	स्टोर	्टोरे	टोरेज	ोरेज_	रेज__	32	जीबी	क्षमता	में	B_ASP
क्षमता	0	6	क	क्	क्ष	ा	ता	मता	1	क	्	ष	म	त	क्	्ष	षम	मत	ता	क्ष	्षम	षमत	मता	ता_	क्षम	्षमत	षमता	मता_	ता__	क्षमत	्षमता	षमता_	मता__	ता___	जीबी	स्टोरेज	में	आता	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	स्टोरेज	क्षमता	आता	है	0
आता	0	3	आ	आत	आता	ा	ता	आता	0	आ	त	ा	_	_	आत	ता	ा_	__	__	आता	ता_	ा__	___	___	आता_	ता__	ा___	____	____	आता__	ता___	ा____	_____	_____	क्षमता	में	है	इसके	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	में	आता	इसके	मेमोरी	0
इसके	1	4	इ	इस	इसक	े	के	सके	0	इ	स	क	े	_	इस	सक	के	े_	__	इसक	सके	के_	े__	___	इसके	सके_	के__	े___	____	इसके_	सके__	के___	े____	_____	आता	है	मेमोरी	को	0
मेमोरी	0	6	म	मे	मेम	ी	री	ोरी	1	म	े	म	ो	र	मे	ेम	मो	ोर	री	मेम	ेमो	मोर	ोरी	री_	मेमो	ेमोर	मोरी	ोरी_	री__	मेमोर	ेमोरी	मोरी_	ोरी__	री___	है	इसके	को	माइक्रो	0
को	1	2	क	को	NULL	ो	को	NULL	0	क	ो	_	_	_	को	ो_	__	__	__	को_	ो__	___	___	___	को__	ो___	____	____	____	को___	ो____	_____	_____	_____	इसके	मेमोरी	माइक्रो	एसडी	0
माइक्रो	0	7	म	मा	माइ	ो	रो	्रो	1	म	ा	इ	क	्	मा	ाइ	इक	क्	्र	माइ	ाइक	इक्	क्र	्रो	माइक	ाइक्	इक्र	क्रो	्रो_	माइक्	ाइक्र	इक्रो	क्रो_	्रो__	मेमोरी	को	एसडी	कार्ड	B_ASP
एसडी	0	4	ए	एस	एसड	ी	डी	सडी	1	ए	स	ड	ी	_	एस	सड	डी	ी_	__	एसड	सडी	डी_	ी__	___	एसडी	सडी_	डी__	ी___	____	एसडी_	सडी__	डी___	ी____	_____	को	माइक्रो	कार्ड	से	I_ASP
कार्ड	0	5	क	का	कार	ड	्ड	र्ड	1	क	ा	र	्	ड	का	ार	र्	्ड	ड_	कार	ार्	र्ड	्ड_	ड__	कार्	ार्ड	र्ड_	्ड__	ड___	कार्ड	ार्ड_	र्ड__	्ड___	ड____	माइक्रो	एसडी	से	32	I_ASP
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	एसडी	कार्ड	32	जीबी	0
32	0	2	3	32	NULL	2	32	NULL	0	3	2	_	_	_	32	2_	__	__	__	32_	2__	___	___	___	32__	2___	____	____	____	32___	2____	_____	_____	_____	कार्ड	से	जीबी	तक	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	से	32	तक	बढ़ाया	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	32	जीबी	बढ़ाया	जा	0
बढ़ाया	0	5	ब	बढ़	बढ़ा	ा	या	ाया	0	ब	ढ़	ा	य	ा	बढ़	ढ़ा	ाय	या	ा_	बढ़ा	ढ़ाय	ाया	या_	ा__	बढ़ाय	ढ़ाया	ाया_	या__	ा___	बढ़ाया	ढ़ाया_	ाया__	या___	ा____	जीबी	तक	जा	सकता	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	तक	बढ़ाया	सकता	है	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	बढ़ाया	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	NULL	NULL	0
EOL
गैलेक्सी	0	8	ग	गै	गैल	ी	सी	्सी	0	ग	ै	ल	े	क	गै	ैल	ले	ेक	क्	गैल	ैले	लेक	ेक्	क्स	गैले	ैलेक	लेक्	ेक्स	क्सी	गैलेक	ैलेक्	लेक्स	ेक्सी	क्सी_	NULL	NULL	टैब	2	0
टैब	0	3	ट	टै	टैब	ब	ैब	टैब	0	ट	ै	ब	_	_	टै	ैब	ब_	__	__	टैब	ैब_	ब__	___	___	टैब_	ैब__	ब___	____	____	टैब__	ैब___	ब____	_____	_____	NULL	गैलेक्सी	2	में	0
2	0	1	2	NULL	NULL	2	NULL	NULL	0	2	_	_	_	_	2_	__	__	__	__	2__	___	___	___	___	2___	____	____	____	____	2____	_____	_____	_____	_____	गैलेक्सी	टैब	में	1	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	टैब	2	1	गीगाहर्ट्ज़	0
1	0	1	1	NULL	NULL	1	NULL	NULL	0	1	_	_	_	_	1_	__	__	__	__	1__	___	___	___	___	1___	____	____	____	____	1____	_____	_____	_____	_____	2	में	गीगाहर्ट्ज़	डुएल	0
गीगाहर्ट्ज़	0	10	ग	गी	गीग	ज़	्ज़	ट्ज़	0	ग	ी	ग	ा	ह	गी	ीग	गा	ाह	हर	गीग	ीगा	गाह	ाहर	हर्	गीगा	ीगाह	गाहर	ाहर्	हर्ट	गीगाह	ीगाहर	गाहर्	ाहर्ट	हर्ट्	में	1	डुएल	कोर	0
डुएल	0	4	ड	डु	डुए	ल	एल	ुएल	0	ड	ु	ए	ल	_	डु	ुए	एल	ल_	__	डुए	ुएल	एल_	ल__	___	डुएल	ुएल_	एल__	ल___	____	डुएल_	ुएल__	एल___	ल____	_____	1	गीगाहर्ट्ज़	कोर	प्रोसेसर	B_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	गीगाहर्ट्ज़	डुएल	प्रोसेसर	है	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	डुएल	कोर	है	और	I_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	कोर	प्रोसेसर	और	1	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	प्रोसेसर	है	1	जीबी	0
1	0	1	1	NULL	NULL	1	NULL	NULL	0	1	_	_	_	_	1_	__	__	__	__	1__	___	___	___	___	1___	____	____	____	____	1____	_____	_____	_____	_____	है	और	जीबी	रैम	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	और	1	रैम	है	0
रैम	0	3	र	रै	रैम	म	ैम	रैम	1	र	ै	म	_	_	रै	ैम	म_	__	__	रैम	ैम_	म__	___	___	रैम_	ैम__	म___	____	____	रैम__	ैम___	म____	_____	_____	1	जीबी	है	NULL	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जीबी	रैम	NULL	NULL	0
EOL
16	0	2	1	16	NULL	6	16	NULL	0	1	6	_	_	_	16	6_	__	__	__	16_	6__	___	___	___	16__	6___	____	____	____	16___	6____	_____	_____	_____	NULL	NULL	जीबी	स्टोरेज	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	NULL	16	स्टोरेज	जिसे	0
स्टोरेज	0	7	स	स्	स्ट	ज	ेज	रेज	1	स	्	ट	ो	र	स्	्ट	टो	ोर	रे	स्ट	्टो	टोर	ोरे	रेज	स्टो	्टोर	टोरे	ोरेज	रेज_	स्टोर	्टोरे	टोरेज	ोरेज_	रेज__	16	जीबी	जिसे	माइक्रो	B_ASP
जिसे	0	4	ज	जि	जिस	े	से	िसे	0	ज	ि	स	े	_	जि	िस	से	े_	__	जिस	िसे	से_	े__	___	जिसे	िसे_	से__	े___	____	जिसे_	िसे__	से___	े____	_____	जीबी	स्टोरेज	माइक्रो	एसडी	0
माइक्रो	0	7	म	मा	माइ	ो	रो	्रो	1	म	ा	इ	क	्	मा	ाइ	इक	क्	्र	माइ	ाइक	इक्	क्र	्रो	माइक	ाइक्	इक्र	क्रो	्रो_	माइक्	ाइक्र	इक्रो	क्रो_	्रो__	स्टोरेज	जिसे	एसडी	कार्ड	B_ASP
एसडी	0	4	ए	एस	एसड	ी	डी	सडी	1	ए	स	ड	ी	_	एस	सड	डी	ी_	__	एसड	सडी	डी_	ी__	___	एसडी	सडी_	डी__	ी___	____	एसडी_	सडी__	डी___	ी____	_____	जिसे	माइक्रो	कार्ड	से	I_ASP
कार्ड	0	5	क	का	कार	ड	्ड	र्ड	1	क	ा	र	्	ड	का	ार	र्	्ड	ड_	कार	ार्	र्ड	्ड_	ड__	कार्	ार्ड	र्ड_	्ड__	ड___	कार्ड	ार्ड_	र्ड__	्ड___	ड____	माइक्रो	एसडी	से	32	I_ASP
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	एसडी	कार्ड	32	जीबी	0
32	0	2	3	32	NULL	2	32	NULL	0	3	2	_	_	_	32	2_	__	__	__	32_	2__	___	___	___	32__	2___	____	____	____	32___	2____	_____	_____	_____	कार्ड	से	जीबी	तक	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	से	32	तक	बढ़ाया	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	32	जीबी	बढ़ाया	जा	0
बढ़ाया	0	5	ब	बढ़	बढ़ा	ा	या	ाया	0	ब	ढ़	ा	य	ा	बढ़	ढ़ा	ाय	या	ा_	बढ़ा	ढ़ाय	ाया	या_	ा__	बढ़ाय	ढ़ाया	ाया_	या__	ा___	बढ़ाया	ढ़ाया_	ाया__	या___	ा____	जीबी	तक	जा	सकता	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	तक	बढ़ाया	सकता	है	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	बढ़ाया	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	NULL	NULL	0
EOL
जिसकी	0	5	ज	जि	जिस	ी	की	सकी	0	ज	ि	स	क	ी	जि	िस	सक	की	ी_	जिस	िसक	सकी	की_	ी__	जिसक	िसकी	सकी_	की__	ी___	जिसकी	िसकी_	सकी__	की___	ी____	NULL	NULL	वजह	से	0
वजह	0	3	व	वज	वजह	ह	जह	वजह	0	व	ज	ह	_	_	वज	जह	ह_	__	__	वजह	जह_	ह__	___	___	वजह_	जह__	ह___	____	____	वजह__	जह___	ह____	_____	_____	NULL	जिसकी	से	इस	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	जिसकी	वजह	इस	पर	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	वजह	से	पर	वीडियो	0
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	से	इस	वीडियो	देखना	0
वीडियो	0	6	व	वी	वीड	ो	यो	ियो	1	व	ी	ड	ि	य	वी	ीड	डि	िय	यो	वीड	ीडि	डिय	ियो	यो_	वीडि	ीडिय	डियो	ियो_	यो__	वीडिय	ीडियो	डियो_	ियो__	यो___	इस	पर	देखना	उतना	B_ASP
देखना	0	5	द	दे	देख	ा	ना	खना	0	द	े	ख	न	ा	दे	ेख	खन	ना	ा_	देख	ेखन	खना	ना_	ा__	देखन	ेखना	खना_	ना__	ा___	देखना	ेखना_	खना__	ना___	ा____	पर	वीडियो	उतना	अच्छा	I_ASP
उतना	0	4	उ	उत	उतन	ा	ना	तना	0	उ	त	न	ा	_	उत	तन	ना	ा_	__	उतन	तना	ना_	ा__	___	उतना	तना_	ना__	ा___	____	उतना_	तना__	ना___	ा____	_____	वीडियो	देखना	अच्छा	अनुभव	0
अच्छा	0	5	अ	अच	अच्	ा	छा	्छा	0	अ	च	्	छ	ा	अच	च्	्छ	छा	ा_	अच्	च्छ	्छा	छा_	ा__	अच्छ	च्छा	्छा_	छा__	ा___	अच्छा	च्छा_	्छा__	छा___	ा____	देखना	उतना	अनुभव	नहीं	0
अनुभव	0	5	अ	अन	अनु	व	भव	ुभव	0	अ	न	ु	भ	व	अन	नु	ुभ	भव	व_	अनु	नुभ	ुभव	भव_	व__	अनुभ	नुभव	ुभव_	भव__	व___	अनुभव	नुभव_	ुभव__	भव___	व____	उतना	अच्छा	नहीं	रहता	0
नहीं	1	4	न	नह	नही	ं	ीं	हीं	0	न	ह	ी	ं	_	नह	ही	ीं	ं_	__	नही	हीं	ीं_	ं__	___	नहीं	हीं_	ीं__	ं___	____	नहीं_	हीं__	ीं___	ं____	_____	अच्छा	अनुभव	रहता	खास	0
रहता	0	4	र	रह	रहत	ा	ता	हता	0	र	ह	त	ा	_	रह	हत	ता	ा_	__	रहत	हता	ता_	ा__	___	रहता	हता_	ता__	ा___	____	रहता_	हता__	ता___	ा____	_____	अनुभव	नहीं	खास	कर	0
खास	0	3	ख	खा	खास	स	ास	खास	0	ख	ा	स	_	_	खा	ास	स_	__	__	खास	ास_	स__	___	___	खास_	ास__	स___	____	____	खास__	ास___	स____	_____	_____	नहीं	रहता	कर	जब	0
कर	1	2	क	कर	NULL	र	कर	NULL	0	क	र	_	_	_	कर	र_	__	__	__	कर_	र__	___	___	___	कर__	र___	____	____	____	कर___	र____	_____	_____	_____	रहता	खास	जब	आप	0
जब	1	2	ज	जब	NULL	ब	जब	NULL	0	ज	ब	_	_	_	जब	ब_	__	__	__	जब_	ब__	___	___	___	जब__	ब___	____	____	____	जब___	ब____	_____	_____	_____	खास	कर	आप	एचडी	0
