आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
यहां	0	4	य	यह	यहा	ं	ां	हां	0	य	ह	ा	ं	_	यह	हा	ां	ं_	__	यहा	हां	ां_	ं__	___	यहां	हां_	ां__	ं___	____	यहां_	हां__	ां___	ं____	_____	साथ	ही	हेडफोन	और	0
हेडफोन	0	6	ह	हे	हेड	न	ोन	फोन	0	ह	े	ड	फ	ो	हे	ेड	डफ	फो	ोन	हेड	ेडफ	डफो	फोन	ोन_	हेडफ	ेडफो	डफोन	फोन_	ोन__	हेडफो	ेडफोन	डफोन_	फोन__	ोन___	ही	यहां	और	मिनी	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	यहां	हेडफोन	मिनी	AV	0
मिनी	0	4	म	मि	मिन	ी	नी	िनी	0	म	ि	न	ी	_	मि	िन	नी	ी_	__	मिन	िनी	नी_	ी__	___	मिनी	िनी_	नी__	ी___	____	मिनी_	िनी__	नी___	ी____	_____	हेडफोन	और	AV	आउट	0
AV	0	2	A	AV	NULL	V	AV	NULL	0	A	V	_	_	_	AV	V_	__	__	__	AV_	V__	___	___	___	AV__	V___	____	____	____	AV___	V____	_____	_____	_____	और	मिनी	आउट	जैक	B_ASP
आउट	0	3	आ	आउ	आउट	ट	उट	आउट	0	आ	उ	ट	_	_	आउ	उट	ट_	__	__	आउट	उट_	ट__	___	___	आउट_	उट__	ट___	____	____	आउट__	उट___	ट____	_____	_____	मिनी	AV	जैक	भी	I_ASP
जैक	0	3	ज	जै	जैक	क	ैक	जैक	1	ज	ै	क	_	_	जै	ैक	क_	__	__	जैक	ैक_	क__	___	___	जैक_	ैक__	क___	____	____	जैक__	ैक___	क____	_____	_____	AV	आउट	भी	मौजूद	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	आउट	जैक	मौजूद	है	0
मौजूद	0	5	म	मौ	मौज	द	ूद	जूद	0	म	ौ	ज	ू	द	मौ	ौज	जू	ूद	द_	मौज	ौजू	जूद	ूद_	द__	मौजू	ौजूद	जूद_	ूद__	द___	मौजूद	ौजूद_	जूद__	ूद___	द____	जैक	भी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	भी	मौजूद	NULL	NULL	0
EOL
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	NULL	NULL	ही	इस	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	NULL	साथ	इस	में	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	साथ	ही	में	रेडिएंट	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	ही	इस	रेडिएंट	LED	0
रेडिएंट	0	7	र	रे	रेड	ट	ंट	एंट	0	र	े	ड	ि	ए	रे	ेड	डि	िए	एं	रेड	ेडि	डिए	िएं	एंट	रेडि	ेडिए	डिएं	िएंट	एंट_	रेडिए	ेडिएं	डिएंट	िएंट_	एंट__	इस	में	LED	ब्लैक	0
LED	0	3	L	LE	LED	D	ED	LED	0	L	E	D	_	_	LE	ED	D_	__	__	LED	ED_	D__	___	___	LED_	ED__	D___	____	____	LED__	ED___	D____	_____	_____	में	रेडिएंट	ब्लैक	मॉड्यूल	B_ASP
ब्लैक	0	5	ब	ब्	ब्ल	क	ैक	लैक	0	ब	्	ल	ै	क	ब्	्ल	लै	ैक	क_	ब्ल	्लै	लैक	ैक_	क__	ब्लै	्लैक	लैक_	ैक__	क___	ब्लैक	्लैक_	लैक__	ैक___	क____	रेडिएंट	LED	मॉड्यूल	14.4mm	I_ASP
मॉड्यूल	0	7	म	मॉ	मॉड	ल	ूल	यूल	0	म	ॉ	ड	्	य	मॉ	ॉड	ड्	्य	यू	मॉड	ॉड्	ड्य	्यू	यूल	मॉड्	ॉड्य	ड्यू	्यूल	यूल_	मॉड्य	ॉड्यू	ड्यूल	्यूल_	यूल__	LED	ब्लैक	14.4mm	बेजल	I_ASP
14.4mm	0	6	1	14	14.	m	mm	4mm	0	1	4	.	4	m	14	4.	.4	4m	mm	14.	4.4	.4m	4mm	mm_	14.4	4.4m	.4mm	4mm_	mm__	14.4m	4.4mm	.4mm_	4mm__	mm___	ब्लैक	मॉड्यूल	बेजल	और	0
बेजल	0	4	ब	बे	बेज	ल	जल	ेजल	0	ब	े	ज	ल	_	बे	ेज	जल	ल_	__	बेज	ेजल	जल_	ल__	___	बेजल	ेजल_	जल__	ल___	____	बेजल_	ेजल__	जल___	ल____	_____	मॉड्यूल	14.4mm	और	5000:1	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	14.4mm	बेजल	5000:1	डायनामिक	0
5000:1	0	6	5	50	500	1	:1	0:1	0	5	0	0	0	:	50	00	00	0:	:1	500	000	00:	0:1	:1_	5000	000:	00:1	0:1_	:1__	5000:	000:1	00:1_	0:1__	:1___	बेजल	और	डायनामिक	कंट्रास्ट	0
डायनामिक	0	8	ड	डा	डाय	क	िक	मिक	0	ड	ा	य	न	ा	डा	ाय	यन	ना	ाम	डाय	ायन	यना	नाम	ामि	डायन	ायना	यनाम	नामि	ामिक	डायना	ायनाम	यनामि	नामिक	ामिक_	और	5000:1	कंट्रास्ट	रेशियो	B_ASP
कंट्रास्ट	0	9	क	कं	कंट	ट	्ट	स्ट	0	क	ं	ट	्	र	कं	ंट	ट्	्र	रा	कंट	ंट्	ट्र	्रा	रास	कंट्	ंट्र	ट्रा	्रास	रास्	कंट्र	ंट्रा	ट्रास	्रास्	रास्ट	5000:1	डायनामिक	रेशियो	दिया	I_ASP
रेशियो	0	6	र	रे	रेश	ो	यो	ियो	0	र	े	श	ि	य	रे	ेश	शि	िय	यो	रेश	ेशि	शिय	ियो	यो_	रेशि	ेशिय	शियो	ियो_	यो__	रेशिय	ेशियो	शियो_	ियो__	यो___	डायनामिक	कंट्रास्ट	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	कंट्रास्ट	रेशियो	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	रेशियो	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
इंटेक्स	0	7	इ	इं	इंट	स	्स	क्स	0	इ	ं	ट	े	क	इं	ंट	टे	ेक	क्	इंट	ंटे	टेक	ेक्	क्स	इंटे	ंटेक	टेक्	ेक्स	क्स_	इंटेक	ंटेक्	टेक्स	ेक्स_	क्स__	NULL	NULL	के	इस	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	NULL	इंटेक्स	इस	टीवी	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	इंटेक्स	के	टीवी	में	0
टीवी	0	4	ट	टी	टीव	ी	वी	ीवी	0	ट	ी	व	ी	_	टी	ीव	वी	ी_	__	टीव	ीवी	वी_	ी__	___	टीवी	ीवी_	वी__	ी___	____	टीवी_	ीवी__	वी___	ी____	_____	के	इस	में	HDMI	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	टीवी	HDMI	पोर्ट	0
HDMI	0	4	H	HD	HDM	I	MI	DMI	0	H	D	M	I	_	HD	DM	MI	I_	__	HDM	DMI	MI_	I__	___	HDMI	DMI_	MI__	I___	____	HDMI_	DMI__	MI___	I____	_____	टीवी	में	पोर्ट	VGA	B_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	में	HDMI	VGA	इनपुट	I_ASP
VGA	0	3	V	VG	VGA	A	GA	VGA	0	V	G	A	_	_	VG	GA	A_	__	__	VGA	GA_	A__	___	___	VGA_	GA__	A___	____	____	VGA__	GA___	A____	_____	_____	HDMI	पोर्ट	इनपुट	पोर्ट	B_ASP
इनपुट	0	5	इ	इन	इनप	ट	ुट	पुट	0	इ	न	प	ु	ट	इन	नप	पु	ुट	ट_	इनप	नपु	पुट	ुट_	ट__	इनपु	नपुट	पुट_	ुट__	ट___	इनपुट	नपुट_	पुट__	ुट___	ट____	पोर्ट	VGA	पोर्ट	USB	I_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	VGA	इनपुट	USB	पोर्ट	I_ASP
USB	0	3	U	US	USB	B	SB	USB	0	U	S	B	_	_	US	SB	B_	__	__	USB	SB_	B__	___	___	USB_	SB__	B___	____	____	USB__	SB___	B____	_____	_____	इनपुट	पोर्ट	पोर्ट	दिया	B_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	पोर्ट	USB	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	USB	पोर्ट	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	पोर्ट	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
इसके	1	4	इ	इस	इसक	े	के	सके	0	इ	स	क	े	_	इस	सक	के	े_	__	इसक	सके	के_	े__	___	इसके	सके_	के__	े___	____	इसके_	सके__	के___	े____	_____	NULL	NULL	अलावा	कनेक्टिविटी	0
अलावा	0	5	अ	अल	अला	ा	वा	ावा	0	अ	ल	ा	व	ा	अल	ला	ाव	वा	ा_	अला	लाव	ावा	वा_	ा__	अलाव	लावा	ावा_	वा__	ा___	अलावा	लावा_	ावा__	वा___	ा____	NULL	इसके	कनेक्टिविटी	के	0
कनेक्टिविटी	0	11	क	कन	कने	ी	टी	िटी	0	क	न	े	क	्	कन	ने	ेक	क्	्ट	कने	नेक	ेक्	क्ट	्टि	कनेक	नेक्	ेक्ट	क्टि	्टिव	कनेक्	नेक्ट	ेक्टि	क्टिव	्टिवि	इसके	अलावा	के	लिए	B_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	अलावा	कनेक्टिविटी	लिए	यूएसबी	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	कनेक्टिविटी	के	यूएसबी	3.0	0
यूएसबी	0	6	य	यू	यूए	ी	बी	सबी	1	य	ू	ए	स	ब	यू	ूए	एस	सब	बी	यूए	ूएस	एसब	सबी	बी_	यूएस	ूएसब	एसबी	सबी_	बी__	यूएसब	ूएसबी	एसबी_	सबी__	बी___	के	लिए	3.0	यूएसबी	B_ASP
3.0	0	3	3	3.	3.0	0	.0	3.0	0	3	.	0	_	_	3.	.0	0_	__	__	3.0	.0_	0__	___	___	3.0_	.0__	0___	____	____	3.0__	.0___	0____	_____	_____	लिए	यूएसबी	यूएसबी	2.0	I_ASP
यूएसबी	0	6	य	यू	यूए	ी	बी	सबी	1	य	ू	ए	स	ब	यू	ूए	एस	सब	बी	यूए	ूएस	एसब	सबी	बी_	यूएस	ूएसब	एसबी	सबी_	बी__	यूएसब	ूएसबी	एसबी_	सबी__	बी___	यूएसबी	3.0	2.0	और	B_ASP
2.0	0	3	2	2.	2.0	0	.0	2.0	0	2	.	0	_	_	2.	.0	0_	__	__	2.0	.0_	0__	___	___	2.0_	.0__	0___	____	____	2.0__	.0___	0____	_____	_____	3.0	यूएसबी	और	HDMI	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	यूएसबी	2.0	HDMI	पोर्ट	0
HDMI	0	4	H	HD	HDM	I	MI	DMI	0	H	D	M	I	_	HD	DM	MI	I_	__	HDM	DMI	MI_	I__	___	HDMI	DMI_	MI__	I___	____	HDMI_	DMI__	MI___	I____	_____	2.0	और	पोर्ट	दिए	B_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	और	HDMI	दिए	गए	I_ASP
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	HDMI	पोर्ट	गए	हैं	0
गए	0	2	ग	गए	NULL	ए	गए	NULL	0	ग	ए	_	_	_	गए	ए_	__	__	__	गए_	ए__	___	___	___	गए__	ए___	____	____	____	गए___	ए____	_____	_____	_____	पोर्ट	दिए	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	दिए	गए	NULL	NULL	0
EOL
एप्पल	0	5	ए	एप	एप्	ल	पल	्पल	0	ए	प	्	प	ल	एप	प्	्प	पल	ल_	एप्	प्प	्पल	पल_	ल__	एप्प	प्पल	्पल_	पल__	ल___	एप्पल	प्पल_	्पल__	पल___	ल____	NULL	NULL	टीवी	में	0
टीवी	0	4	ट	टी	टीव	ी	वी	ीवी	0	ट	ी	व	ी	_	टी	ीव	वी	ी_	__	टीव	ीवी	वी_	ी__	___	टीवी	ीवी_	वी__	ी___	____	टीवी_	ीवी__	वी___	ी____	_____	NULL	एप्पल	में	इंटरनेट	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	एप्पल	टीवी	इंटरनेट	कनेश्न	0
इंटरनेट	0	7	इ	इं	इंट	ट	ेट	नेट	0	इ	ं	ट	र	न	इं	ंट	टर	रन	ने	इंट	ंटर	टरन	रने	नेट	इंटर	ंटरन	टरने	रनेट	नेट_	इंटरन	ंटरने	टरनेट	रनेट_	नेट__	टीवी	में	कनेश्न	पोर्ट	B_ASP
कनेश्न	0	6	क	कन	कने	न	्न	श्न	0	क	न	े	श	्	कन	ने	ेश	श्	्न	कने	नेश	ेश्	श्न	्न_	कनेश	नेश्	ेश्न	श्न_	्न__	कनेश्	नेश्न	ेश्न_	श्न__	्न___	में	इंटरनेट	पोर्ट	के	I_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	इंटरनेट	कनेश्न	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	कनेश्न	पोर्ट	साथ	एक	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	पोर्ट	के	एक	HDMI	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	के	साथ	HDMI	पोर्ट	0
HDMI	0	4	H	HD	HDM	I	MI	DMI	0	H	D	M	I	_	HD	DM	MI	I_	__	HDM	DMI	MI_	I__	___	HDMI	DMI_	MI__	I___	____	HDMI_	DMI__	MI___	I____	_____	साथ	एक	पोर्ट	(डिजिटल	B_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	एक	HDMI	(डिजिटल	ऑडियो	I_ASP
(डिजिटल	0	7	(	(ड	(डि	ल	टल	िटल	0	(	ड	ि	ज	ि	(ड	डि	िज	जि	िट	(डि	डिज	िजि	जिट	िटल	(डिज	डिजि	िजिट	जिटल	िटल_	(डिजि	डिजिट	िजिटल	जिटल_	िटल__	HDMI	पोर्ट	ऑडियो	और	0
ऑडियो	0	5	ऑ	ऑड	ऑडि	ो	यो	ियो	1	ऑ	ड	ि	य	ो	ऑड	डि	िय	यो	ो_	ऑडि	डिय	ियो	यो_	ो__	ऑडिय	डियो	ियो_	यो__	ो___	ऑडियो	डियो_	ियो__	यो___	ो____	पोर्ट	(डिजिटल	और	वीडियो	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	(डिजिटल	ऑडियो	वीडियो	ट्रांसफर	0
वीडियो	0	6	व	वी	वीड	ो	यो	ियो	1	व	ी	ड	ि	य	वी	ीड	डि	िय	यो	वीड	ीडि	डिय	ियो	यो_	वीडि	ीडिय	डियो	ियो_	यो__	वीडिय	ीडियो	डियो_	ियो__	यो___	ऑडियो	और	ट्रांसफर	करने	0
ट्रांसफर	0	8	ट	ट्	ट्र	र	फर	सफर	0	ट	्	र	ा	ं	ट्	्र	रा	ां	ंस	ट्र	्रा	रां	ांस	ंसफ	ट्रा	्रां	रांस	ांसफ	ंसफर	ट्रां	्रांस	रांसफ	ांसफर	ंसफर_	और	वीडियो	करने	के	0
करने	1	4	क	कर	करन	े	ने	रने	0	क	र	न	े	_	कर	रन	ने	े_	__	करन	रने	ने_	े__	___	करने	रने_	ने__	े___	____	करने_	रने__	ने___	े____	_____	वीडियो	ट्रांसफर	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	ट्रांसफर	करने	लिए	HDMI	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	करने	के	HDMI	पोर्ट	0
HDMI	0	4	H	HD	HDM	I	MI	DMI	0	H	D	M	I	_	HD	DM	MI	I_	__	HDM	DMI	MI_	I__	___	HDMI	DMI_	MI__	I___	____	HDMI_	DMI__	MI___	I____	_____	के	लिए	पोर्ट	और	B_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	लिए	HDMI	और	केबल	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	HDMI	पोर्ट	केबल	का	0
केबल	0	4	क	के	केब	ल	बल	ेबल	0	क	े	ब	ल	_	के	ेब	बल	ल_	__	केब	ेबल	बल_	ल__	___	केबल	ेबल_	बल__	ल___	____	केबल_	ेबल__	बल___	ल____	_____	पोर्ट	और	का	इस्तेमाल	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	और	केबल	इस्तेमाल	किया	0
इस्तेमाल	0	8	इ	इस	इस्	ल	ाल	माल	0	इ	स	्	त	े	इस	स्	्त	ते	ेम	इस्	स्त	्ते	तेम	ेमा	इस्त	स्ते	्तेम	तेमा	ेमाल	इस्ते	स्तेम	्तेमा	तेमाल	ेमाल_	केबल	का	किया	जाता	0
किया	1	4	क	कि	किय	ा	या	िया	0	क	ि	य	ा	_	कि	िय	या	ा_	__	किय	िया	या_	ा__	___	किया	िया_	या__	ा___	____	किया_	िया__	या___	ा____	_____	का	इस्तेमाल	जाता	है	0
जाता	0	4	ज	जा	जात	ा	ता	ाता	0	ज	ा	त	ा	_	जा	ात	ता	ा_	__	जात	ाता	ता_	ा__	___	जाता	ाता_	ता__	ा___	____	जाता_	ाता__	ता___	ा____	_____	इस्तेमाल	किया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	किया	जाता	NULL	NULL	0
EOL
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	NULL	NULL	ही	वाई-फाई	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	NULL	साथ	वाई-फाई	IEEE802.11N	0
वाई-फाई	0	7	व	वा	वाई	ई	ाई	फाई	0	व	ा	ई	-	फ	वा	ाई	ई-	-फ	फा	वाई	ाई-	ई-फ	-फा	फाई	वाई-	ाई-फ	ई-फा	-फाई	फाई_	वाई-फ	ाई-फा	ई-फाई	-फाई_	फाई__	साथ	ही	IEEE802.11N	नेटवर्क	B_ASP
IEEE802.11N	0	11	I	IE	IEE	N	1N	11N	0	I	E	E	E	8	IE	EE	EE	E8	80	IEE	EEE	EE8	E80	802	IEEE	EEE8	EE80	E802	802.	IEEE8	EEE80	EE802	E802.	802.1	ही	वाई-फाई	नेटवर्क	इथरनेट	0
नेटवर्क	0	7	न	ने	नेट	क	्क	र्क	0	न	े	ट	व	र	ने	ेट	टव	वर	र्	नेट	ेटव	टवर	वर्	र्क	नेटव	ेटवर	टवर्	वर्क	र्क_	नेटवर	ेटवर्	टवर्क	वर्क_	र्क__	वाई-फाई	IEEE802.11N	इथरनेट	पोर्ट	B_ASP
इथरनेट	0	6	इ	इथ	इथर	ट	ेट	नेट	0	इ	थ	र	न	े	इथ	थर	रन	ने	ेट	इथर	थरन	रने	नेट	ेट_	इथरन	थरने	रनेट	नेट_	ेट__	इथरने	थरनेट	रनेट_	नेट__	ेट___	IEEE802.11N	नेटवर्क	पोर्ट	पिक्सल	I_ASP
पोर्ट	0	5	प	पो	पोर	ट	्ट	र्ट	1	प	ो	र	्	ट	पो	ोर	र्	्ट	ट_	पोर	ोर्	र्ट	्ट_	ट__	पोर्	ोर्ट	र्ट_	्ट__	ट___	पोर्ट	ोर्ट_	र्ट__	्ट___	ट____	नेटवर्क	इथरनेट	पिक्सल	मैपिंग	I_ASP
पिक्सल	0	6	प	पि	पिक	ल	सल	्सल	0	प	ि	क	्	स	पि	िक	क्	्स	सल	पिक	िक्	क्स	्सल	सल_	पिक्	िक्स	क्सल	्सल_	सल__	पिक्स	िक्सल	क्सल_	्सल__	सल___	इथरनेट	पोर्ट	मैपिंग	और	0
मैपिंग	0	6	म	मै	मैप	ग	ंग	िंग	0	म	ै	प	ि	ं	मै	ैप	पि	िं	ंग	मैप	ैपि	पिं	िंग	ंग_	मैपि	ैपिं	पिंग	िंग_	ंग__	मैपिं	ैपिंग	पिंग_	िंग__	ंग___	पोर्ट	पिक्सल	और	डिजिटल	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	पिक्सल	मैपिंग	डिजिटल	मीडिया	0
डिजिटल	0	6	ड	डि	डिज	ल	टल	िटल	0	ड	ि	ज	ि	ट	डि	िज	जि	िट	टल	डिज	िजि	जिट	िटल	टल_	डिजि	िजिट	जिटल	िटल_	टल__	डिजिट	िजिटल	जिटल_	िटल__	टल___	मैपिंग	और	मीडिया	प्लेयर	B_ASP
मीडिया	0	6	म	मी	मीड	ा	या	िया	0	म	ी	ड	ि	य	मी	ीड	डि	िय	या	मीड	ीडि	डिय	िया	या_	मीडि	ीडिय	डिया	िया_	या__	मीडिय	ीडिया	डिया_	िया__	या___	और	डिजिटल	प्लेयर	बिल्ड-इन	I_ASP
प्लेयर	0	6	प	प्	प्ल	र	यर	ेयर	0	प	्	ल	े	य	प्	्ल	ले	ेय	यर	प्ल	्ले	लेय	ेयर	यर_	प्ले	्लेय	लेयर	ेयर_	यर__	प्लेय	्लेयर	लेयर_	ेयर__	यर___	डिजिटल	मीडिया	बिल्ड-इन	है	I_ASP
