बुध	ुधव	धवा	वार	ार_	
एक_	क__	___	___	___	
अत्	त्य	्यं	यंत	ंत_	
प्र	्रा	राच	ाची	चीन	
मंद	ंदि	दिर	िर_	र__	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हर_	र__	___	___	___	
साव	ावन	वन_	न__	___	
में	ें_	ं__	___	___	
यहा	हां	ां_	ं__	___	
लाख	ाखो	खों	ों_	ं__	
शिव	िव_	व__	___	___	
भक्	क्त	्तो	तों	ों_	
की_	ी__	___	___	___	
भीड़	ीड़_	ड़__	___	___	
उमड़	मड़त	ड़ती	ती_	ी__	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
देश	ेश_	श__	___	___	
के_	े__	___	___	___	
विभ	िभि	भिन	िन्	न्न	
हिस	िस्	स्स	्सो	सों	
सहि	हित	ित_	त__	___	
विद	िदे	देश	ेशो	शों	
से_	े__	___	___	___	
भी_	ी__	___	___	___	
यहा	हां	ां_	ं__	___	
आते	ते_	े__	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इन_	न__	___	___	___	
भक्	क्त	्तो	तों	ों_	
को_	ो__	___	___	___	
काव	ावर	वरि	रिय	िया	
कहा	हा_	ा__	___	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ये_	े__	___	___	___	
शिव	िव_	व__	___	___	
भक्	क्त	्त_	त__	___	
बिह	िहा	हार	ार_	र__	
में	ें_	ं__	___	___	
सुल	ुल्	ल्त	्ता	तान	
से_	े__	___	___	___	
गंग	ंगा	गा_	ा__	___	
नदी	दी_	ी__	___	___	
से_	े__	___	___	___	
गंग	ंगा	गाज	ाजल	जल_	
लेक	ेकर	कर_	र__	___	
105	05_	5__	___	___	
किल	िलो	लोम	ोमी	मीट	
की_	ी__	___	___	___	
दूर	ूरी	री_	ी__	___	
पैद	ैदल	दल_	ल__	___	
तय_	य__	___	___	___	
कर_	र__	___	___	___	
देव	ेवघ	वघर	घर_	र__	
में	ें_	ं__	___	___	
भगव	गवा	वान	ान_	न__	
शिव	िव_	व__	___	___	
को_	ो__	___	___	___	
जल_	ल__	___	___	___	
अर्	र्प	्पि	पित	ित_	
करत	रते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
शां	ांत	ंति	ति_	ि__	
और_	र__	___	___	___	
भाई	ाईच	ईचा	चार	ारे	
का_	ा__	___	___	___	
प्र	्रत	रती	तीक	ीक_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
एक_	क__	___	___	___	
प्र	्रस	रसि	सिद	िद्	
हेल	ेल्	ल्थ	्थ_	थ__	
रिज	िजॉ	जॉर	ॉर्	र्ट	
है_	ै__	___	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
इसक	सकी	की_	ी__	___	
पहच	हचा	चान	ान_	न__	
हिं	िंद	ंदु	दु_	ु__	
तीर	ीर्	र्थ	्थस	थस्	
के_	े__	___	___	___	
रूप	ूप_	प__	___	___	
में	ें_	ं__	___	___	
की_	ी__	___	___	___	
जात	ाती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यहा	हां	ां_	ं__	___	
बाब	ाबा	बा_	ा__	___	
बैद	ैद्	द्य	्यन	यना	
का_	ा__	___	___	___	
ऐति	तिह	िहा	हास	ासि	
मंद	ंदि	दिर	िर_	र__	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
भार	ारत	रत_	त__	___	
के_	े__	___	___	___	
बार	ारह	रह_	ह__	___	
ज्य	्यो	योत	ोति	तिर	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
सती	ती_	ी__	___	___	
के_	े__	___	___	___	
52_	2__	___	___	___	
शक्	क्त	्ति	तिप	िपी	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
भी_	ी__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पुर	ुरा	राण	ाणो	णों	
में	ें_	ं__	___	___	
देव	ेवघ	वघर	घर_	र__	
को_	ो__	___	___	___	
हृद	ृदय	दय_	य__	___	
पीठ	ीठ_	ठ__	___	___	
और_	र__	___	___	___	
चित	िता	ता_	ा__	___	
भूम	ूमि	मि_	ि__	___	
भी_	ी__	___	___	___	
कहा	हा_	ा__	___	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
क्य	्यो	यों	ोंक	ंकि	
इसी	सी_	ी__	___	___	
स्थ	्था	थान	ान_	न__	
पर_	र__	___	___	___	
मात	ाता	ता_	ा__	___	
पार	ार्	र्व	्वत	वती	
का_	ा__	___	___	___	
हृद	ृदय	दय_	य__	___	
गिर	िरा	रा_	ा__	___	
था_	ा__	___	___	___	
और_	र__	___	___	___	
और_	र__	___	___	___	
यही	हीं	ीं_	ं__	___	
भगव	गवन	वन_	न__	___	
शिव	िव_	व__	___	___	
ने_	े__	___	___	___	
उनक	नका	का_	ा__	___	
अंत	ंति	तिम	िमस	मसं	
किय	िया	या_	ा__	___	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैद	ैद्	द्य	्यन	यना	
मंद	ंदि	दिर	िर_	र__	
में	ें_	ं__	___	___	
स्थ	्था	थाप	ापि	पित	
लिं	िंग	ंग_	ग__	___	
भगव	गवा	वान	ान_	न__	
शिव	िव_	व__	___	___	
के_	े__	___	___	___	
बार	ारह	रह_	ह__	___	
च्य	्यो	योत	ोति	तिर	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

भगव	गवा	वान	ान_	न__	
श्र	्री	री_	ी__	___	
बैद	ैद्	द्य	्यन	यना	
च्य	्यो	योत	ोति	तिर	
का_	ा__	___	___	___	
मंद	ंदि	दिर	िर_	र__	
जिस	िस_	स__	___	___	
स्थ	्था	थान	ान_	न__	
पर_	र__	___	___	___	
अवस	वस्	स्थ	्थि	थित	
है_	ै__	___	___	___	
उसे	से_	े__	___	___	
बैद	ैद्	द्य	्यन	यना	
धाम	ाम_	म__	___	___	
कहा	हा_	ा__	___	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
च्य	्यो	योर	ोर्	र्त	
लंक	ंका	काप	ापत	पति	
राव	ावण	वण_	ण__	___	
द्व	्वा	वार	ारा	रा_	
लाय	ाया	या_	ा__	___	
गया	या_	ा__	___	___	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैध	ैधन	धना	नाथ	ाथ_	
को_	ो__	___	___	___	
आत्	त्म	्मल	मलि	लिं	
,__	___	___	___	___	
महे	हेश	ेश्	श्व	्वर	
,__	___	___	___	___	
कमा	मान	ाना	नाल	ालि	
,__	___	___	___	___	
राव	ावण	वणे	णेश	ेश्	
महा	हाद	ादे	देव	ेव_	
,__	___	___	___	___	
श्र	्री	री_	ी__	___	
वैध	ैधन	धना	नाथ	ाथल	
,__	___	___	___	___	
नर्	र्ग	्ग_	ग__	___	
तत्	त्प	्पु	पुर	ुरु	
और_	र__	___	___	___	
बें	ेंग	ंगु	गुन	ुना	
के_	े__	___	___	___	
आठ_	ठ__	___	___	___	
नाम	ामो	मों	ों_	ं__	
से_	े__	___	___	___	
जान	ाना	ना_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैद	ैद्	द्य	्यन	यना	
धाम	ाम_	म__	___	___	
में	ें_	ं__	___	___	
यूं	ूं_	ं__	___	___	
तो_	ो__	___	___	___	
साल	ालो	लों	ों_	ं__	
भर_	र__	___	___	___	
लोग	ोग_	ग__	___	___	
च्य	्यो	योर	ोर्	र्त	
के_	े__	___	___	___	
दर्	र्श	्शन	शन_	न__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
आते	ते_	े__	___	___	
हैं	ैं_	ं__	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
साव	ावन	वन_	न__	___	
व__	___	___	___	___	
अश्	श्र	्रि	रि्	ि्व	
मास	ास_	स__	___	___	
में	ें_	ं__	___	___	
यहा	हां	ां_	ं__	___	
श्र	्रद	रद्	द्ध	्धा	
की_	ी__	___	___	___	
अपा	पार	ार_	र__	___	
भीड़	ीड़_	ड़__	___	___	
पहु	हुं	ुंच	ंचत	चती	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैद	ैद्	द्य	्यन	यना	
का_	ा__	___	___	___	
मुख	ुख्	ख्य	्य_	य__	
मंद	ंदि	दिर	िर_	र__	
सबस	बसे	से_	े__	___	
पुर	ुरा	रान	ाना	ना_	
है_	ै__	___	___	___	
जिस	िसक	सके	के_	े__	
आसप	सपा	पास	ास_	स__	
अने	नेक	ेक_	क__	___	
अन्	न्य	्य_	य__	___	
मंद	ंदि	दिर	िर_	र__	
भी_	ी__	___	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बास	ासु	सुक	ुकी	कीन	
अपन	पने	ने_	े__	___	
शिव	िव_	व__	___	___	
मंद	ंदि	दिर	िर_	र__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
जान	ाना	ना_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैद	ैद्	द्य	्यन	यना	
मंद	ंदि	दिर	िर_	र__	
की_	ी__	___	___	___	
यात	ात्	त्र	्रा	रा_	
तब_	ब__	___	___	___	
तक_	क__	___	___	___	
अधू	धूर	ूरी	री_	ी__	
मान	ानी	नी_	ी__	___	
जात	ाती	ती_	ी__	___	
है_	ै__	___	___	___	
जब_	ब__	___	___	___	
तक_	क__	___	___	___	
बास	ासु	सुक	ुकी	कीन	
में	ें_	ं__	___	___	
दर्	र्श	्शन	शन_	न__	
नही	हीं	ीं_	ं__	___	
किए	िए_	ए__	___	___	
जात	ाते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
मंद	ंदि	दिर	िर_	र__	
देव	ेवघ	वघर	घर_	र__	
से_	े__	___	___	___	
45.	5.2	.20	20_	0__	
किल	िलो	लोम	ोमी	मीट	
दूर	ूर_	र__	___	___	
स्थ	्थि	थित	ित_	त__	
हिन	िन्	न्द	्दु	दुओ	
का_	ा__	___	___	___	
यह_	ह__	___	___	___	
तीर	ीर्	र्थ	्थ_	थ__	
स्थ	्थल	थल_	ल__	___	
दुम	ुमक	मका	का_	ा__	
जिल	िले	ले_	े__	___	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बाब	ाबा	बा_	ा__	___	
बैद	ैद्	द्य	्यन	यना	
मंद	ंदि	दिर	िर_	र__	
परि	रिस	िसर	सर_	र__	
के_	े__	___	___	___	
पश्	श्च	्चि	चिम	िम_	
में	ें_	ं__	___	___	
देव	ेवघ	वघर	घर_	र__	
के_	े__	___	___	___	
मुख	ुख्	ख्य	्य_	य__	
बाज	ाजा	जार	ार_	र__	
में	ें_	ं__	___	___	
तीन	ीन_	न__	___	___	
और_	र__	___	___	___	
मंद	ंदि	दिर	िर_	र__	
भी_	ी__	___	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इन्	न्ह	्हे	हें	ें_	
बैज	ैजू	जू_	ू__	___	
मंद	ंदि	दिर	िर_	र__	
के_	े__	___	___	___	
नाम	ाम_	म__	___	___	
से_	े__	___	___	___	
जान	ाना	ना_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
से_	े__	___	___	___	
16_	6__	___	___	___	
किल	िलो	लोम	ोमी	मीट	
दूर	ूर_	र__	___	___	
दुम	ुमक	मका	का_	ा__	
रोड	ोड_	ड__	___	___	
पर_	र__	___	___	___	
एक_	क__	___	___	___	
ख़ू	़ूब	ूबस	बसू	सूर	
पर्	र्व	्वत	वत_	त__	
त्र	्रि	रिक	िकू	कूट	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
पहा	हाड़	ाड़_	ड़__	___	
पर_	र__	___	___	___	
बहु	हुत	ुत_	त__	___	
सार	ारी	री_	ी__	___	
गुफ	ुफा	फाए	ाएं	एं_	
और_	र__	___	___	___	
झरन	रने	नें	ें_	ं__	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
स्थ	्थल	थल_	ल__	___	
मयू	यूर	ूरा	राक	ाक्	
नदी	दी_	ी__	___	___	
के_	े__	___	___	___	
स्र	्रो	रोत	ोत_	त__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
प्र	्रस	रसि	सिद	िद्	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
के_	े__	___	___	___	
बाह	ाहर	हरी	री_	ी__	
हिस	िस्	स्स	्से	से_	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
यह_	ह__	___	___	___	
मंद	ंदि	दिर	िर_	र__	
अपन	पने	ने_	े__	___	
वास	ास्	स्त	्तु	तुश	
की_	ी__	___	___	___	
ख़ू	़ूब	ूबस	बसू	सूर	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
जान	ाना	ना_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
मंद	ंदि	दिर	िर_	र__	
का_	ा__	___	___	___	
निर	िर्	र्म	्मा	माण	
बाल	ाला	लान	ानं	नंद	
ब्र	्रह	रह्	ह्म	्मच	
के_	े__	___	___	___	
एक_	क__	___	___	___	
अनु	नुय	ुया	याय	ायी	
ने_	े__	___	___	___	
किय	िया	या_	ा__	___	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

शां	ांत	ंत_	त__	___	
और_	र__	___	___	___	
प्र	्रा	राक	ाकृ	कृत	
वात	ाता	ताव	ावर	वरण	
एक_	क__	___	___	___	
खूब	ूबस	बसू	सूर	ूरत	
मंद	ंदि	दिर	िर_	र__	
की_	ी__	___	___	___	
उपस	पस्	स्थ	्थि	थित	
के_	े__	___	___	___	
कार	ारण	रण_	ण__	___	
और_	र__	___	___	___	
भी_	ी__	___	___	___	
जीव	ीवं	वंत	ंत_	त__	
हो_	ो__	___	___	___	
उठत	ठता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

नंद	ंदन	दन_	न__	___	
पहा	हाड़	ाड़_	ड़__	___	
देव	ेवघ	वघर	घर_	र__	
के_	े__	___	___	___	
छोर	ोर_	र__	___	___	
पर_	र__	___	___	___	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
पर्	र्व	्वत	वत_	त__	
की_	ी__	___	___	___	
महत	हत्	त्त	्ता	ता_	
यहा	हां	ां_	ं__	___	
बने	ने_	े__	___	___	
मंद	ंदि	दिर	िरो	रों	
के_	े__	___	___	___	
झुं	ुंड	ंड_	ड__	___	
के_	े__	___	___	___	
कार	ारण	रण_	ण__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जो_	ो__	___	___	___	
विभ	िभि	भिन	िन्	न्न	
भगव	गवा	वान	ानो	नों	
को_	ो__	___	___	___	
समर	मर्	र्प	्पि	पित	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यहा	हां	ां_	ं__	___	
बच्	च्च	्चो	चों	ों_	
के_	े__	___	___	___	
बड़ा	ड़ा_	ा__	___	___	
पार	ार्	र्क	्क_	क__	
भी_	ी__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
के_	े__	___	___	___	
दक्	क्ष	्षि	षिण	िण_	
पश्	श्च	्चि	चिम	िम_	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
सत्	त्स	्सं	संग	ंग_	
आश्	श्र	्रम	रम_	म__	
झार	ारख	रखं	खंड	ंड_	
के_	े__	___	___	___	
प्र	्रम	रमु	मुख	ुख_	
तीर	ीर्	र्थ	्थस	थस्	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सकी	की_	ी__	___	
स्थ	्था	थाप	ापन	पना	
ठाक	ाकु	कुर	ुर_	र__	
अनु	नुक	ुकू	कूल	ूलच	
द्व	्वा	वार	ारा	रा_	
की_	ी__	___	___	___	
गई_	ई__	___	___	___	
थी_	ी__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
सौम	ौम्	म्य	्य_	य__	
और_	र__	___	___	___	
शां	ांत	ंत_	त__	___	
वात	ाता	ताव	ावर	वरण	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

सर्	र्व	्व_	व__	___	
धर्	र्म	्म_	म__	___	
मंद	ंदि	दिर	िर_	र__	
के_	े__	___	___	___	
अला	लाव	ावा	वा_	ा__	
यहा	हां	ां_	ं__	___	
पर_	र__	___	___	___	
एक_	क__	___	___	___	
संग	ंग्	ग्र	्रह	रहा	
और_	र__	___	___	___	
चिड़	िड़ि	ड़िय	िया	याघ	
भी_	ी__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देव	ेवघ	वघर	घर_	र__	
से_	े__	___	___	___	
10_	0__	___	___	___	
किम	िमी	मी_	ी__	___	
दूर	ूरी	री_	ी__	___	
पर_	र__	___	___	___	
स्थ	्थि	थित	ित_	त__	
तपो	पोव	ोवन	वन_	न__	
अपन	पने	ने_	े__	___	
प्र	्रस	रसि	सिद	िद्	
शिव	िवम	वमं	मंद	ंदि	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
जान	ाना	ना_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

गुफ	ुफा	फाओ	ाओं	ओं_	
और_	र__	___	___	___	
पहा	हाड़	ाड़ी	ड़ी_	ी__	
पर_	र__	___	___	___	
बने	ने_	े__	___	___	
मंद	ंदि	दिर	िरो	रों	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
जान	ाना	ना_	ा__	___	
जान	ाने	ने_	े__	___	
वाल	ाला	ला_	ा__	___	
तपो	पोव	ोवन	वन_	न__	
एक_	क__	___	___	___	
रमण	मणी	णीय	ीय_	य__	
स्थ	्था	थान	ान_	न__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मान	ान्	न्य	्यत	यता	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
यह_	ह__	___	___	___	
ऋषि	षि_	ि__	___	___	
बाल	ाल्	ल्म	्मी	मीक	
तपस	पस्	स्य	्या	या_	
करन	रने	ने_	े__	___	
आए_	ए__	___	___	___	
थे_	े__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कहत	हते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
कि_	ि__	___	___	___	
श्र	्री	री_	ी__	___	
बाल	ाला	लान	ानं	नंद	
बह्	ह्म	्मा	माच	ाचा	
ने_	े__	___	___	___	
यहा	हां	ां_	ं__	___	
पर_	र__	___	___	___	
तप_	प__	___	___	___	
करक	रके	के_	े__	___	
दिव	िव्	व्य	्यत	यता	
प्र	्रा	राप	ाप्	प्त	
की_	ी__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाय	ायु	युम	ुमा	मार	
-JO	JOI	OIN	IN_	N__	
पटन	टना	ना_	ा__	___	
निक	िकट	कटत	टतम	तम_	
हवा	वाई	ाईअ	ईअड	अड्	
है_	ै__	___	___	___	
और_	र__	___	___	___	
भार	ारत	रत_	त__	___	
के_	े__	___	___	___	
सभी	भी_	ी__	___	___	
प्र	्रम	रमु	मुख	ुख_	
स्थ	्था	थान	ानो	नों	
से_	े__	___	___	___	
उड़ा	ड़ान	ानो	नों	ों_	
द्व	्वा	वार	ारा	रा_	
जुड	ुड़	ड़ा	़ा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

रेल	ेलम	लमा	मार	ार्	
-JO	JOI	OIN	IN_	N__	
निक	िकट	कटत	टतम	तम_	
रेल	ेलव	लवे	वे_	े__	
स्ट	्टे	टेश	ेशन	शन_	
बैद	ैद्	द्य	्यन	यना	
धाम	ाम_	म__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जसी	सीड	ीडी	डीह	ीह_	
जंक	ंक्	क्श	्शन	शन_	
भार	ारत	रत_	त__	___	
के_	े__	___	___	___	
सभी	भी_	ी__	___	___	
प्र	्रम	रमु	मुख	ुख_	
भाग	ागो	गों	ों_	ं__	
से_	े__	___	___	___	
जुड़	ुड़ा	ड़ा_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

सड़	ड़क	़कम	कमा	मार	
-JO	JOI	OIN	IN_	N__	
देव	ेवघ	वघर	घर_	र__	
भार	ारत	रत_	त__	___	
के_	े__	___	___	___	
प्र	्रम	रमु	मुख	ुख_	
शहर	हरो	रों	ों_	ं__	
से_	े__	___	___	___	
सड़	ड़क	़कम	कमा	मार	
द्व	्वा	वार	ारा	रा_	
जुड	ुड़	ड़ा	़ा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लाल	ाल_	ल__	___	___	
किल	िला	ला_	ा__	___	
(__	___	___	___	___	
रेड	ेड_	ड__	___	___	
फोर	ोर्	र्ट	्ट_	ट__	
)__	___	___	___	___	
दुन	ुनि	निय	िया	या_	
के_	े__	___	___	___	
सर्	र्व	्वा	वाध	ाधि	
प्र	्रभ	रभा	भाव	ावश	
भव्	व्य	्य_	य__	___	
किल	िलो	लों	ों_	ं__	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लाल	ाल_	ल__	___	___	
किल	िला	ला_	ा__	___	
का_	ा__	___	___	___	
यह_	ह__	___	___	___	
नाम	ाम_	म__	___	___	
इसल	सलि	लिए	िए_	ए__	
पड़ा	ड़ा_	ा__	___	___	
क्य	्यो	यों	ोंक	ंकि	
यह_	ह__	___	___	___	
लाल	ाल_	ल__	___	___	
पत्	त्थ	्थर	थरो	रों	
से_	े__	___	___	___	
बना	ना_	ा__	___	___	
हुआ	ुआ_	आ__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दिल	िल्	ल्ल	्ली	ली_	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
यह_	ह__	___	___	___	
ऐति	तिह	िहा	हास	ासि	
किल	िला	ला_	ा__	___	
मुग	ुगल	गलक	लका	काल	
वास	ास्	स्त	्तु	तुक	
की_	ी__	___	___	___	
नाय	ाया	याब	ाब_	ब__	
धरो	रोह	ोहर	हर_	र__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

भार	ारत	रत_	त__	___	
की_	ी__	___	___	___	
शान	ान_	न__	___	___	
के_	े__	___	___	___	
प्र	्रत	रती	तीक	ीक_	
लाल	ाल_	ल__	___	___	
किल	िले	ले_	े__	___	
का_	ा__	___	___	___	
निर	िर्	र्म	्मा	माण	
मुग	ुगल	गल_	ल__	___	
बाद	ादश	दशा	शाह	ाह_	
शाह	ाहज	हजह	जहा	हां	
ने_	े__	___	___	___	
सत्	त्र	्रह	रहव	हवी	
सदी	दी_	ी__	___	___	
में	ें_	ं__	___	___	
करा	राय	ाया	या_	ा__	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

तब_	ब__	___	___	___	
से_	े__	___	___	___	
अब_	ब__	___	___	___	
तक_	क__	___	___	___	
यह_	ह__	___	___	___	
ऐति	तिह	िहा	हास	ासि	
विर	िरा	रास	ासत	सत_	
कई_	ई__	___	___	___	
हमल	मलो	लों	ों_	ं__	
को_	ो__	___	___	___	
झेल	ेल_	ल__	___	___	
चुक	ुकी	की_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
पुर	ुरा	रान	ानी	नी_	
दिल	िल्	ल्ल	्ली	ली_	
शहर	हर_	र__	___	___	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
यून	ूने	नेस	ेस्	स्क	
विश	िश्	श्व	्व_	व__	
धरो	रोह	ोहर	हर_	र__	
स्थ	्थल	थल_	ल__	___	
में	ें_	ं__	___	___	
चयन	यनि	नित	ित_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लाल	ाल_	ल__	___	___	
किल	िले	ले_	े__	___	
में	ें_	ं__	___	___	
उच्	च्च	्चस	चस्	स्त	
की_	ी__	___	___	___	
कला	ला_	ा__	___	___	
का_	ा__	___	___	___	
निर	िर्	र्म	्मा	माण	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यहा	हां	ां_	ं__	___	
की_	ी__	___	___	___	
कला	लाक	ाकृ	कृत	ृति	
फार	ारस	रसी	सी_	ी__	
,__	___	___	___	___	
यूर	ूरो	रोप	ोपी	पीय	
एवं	वं_	ं__	___	___	
भार	ारत	रती	तीय	ीय_	
कला	ला_	ा__	___	___	
का_	ा__	___	___	___	
मिश	िश्	श्र	्रण	रण_	
हैं	ैं_	ं__	___	___	
,__	___	___	___	___	
जिस	िसक	सको	को_	ो__	
विश	िशि	शिष	िष्	ष्ट	
एवं	वं_	ं__	___	___	
अनु	नुप	ुपम	पम_	म__	
शाह	ाहज	हजह	जहा	हां	
शैल	ैली	ली_	ी__	___	
कहा	हा_	ा__	___	___	
जात	ाता	ता_	ा__	___	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दिल	िल्	ल्ल	्ली	ली_	
की_	ी__	___	___	___	
एक_	क__	___	___	___	
महत	हत्	त्व	्वप	वपू	
इमा	मार	ारत	रत_	त__	
है_	ै__	___	___	___	
