बु	ुध	धव	वा	ार	
प्	्र	रस	सि	िद	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

प्	्र	रक	कृ	ृत	
के	े_	__	__	__	
बी	ीच	च_	__	__	
स्	्थ	थि	ित	त_	
यह	ह_	__	__	__	
शह	हर	र_	__	__	
क्	्र	रा	ाई	ईस	
चर	र्	्च	च_	__	
,_	__	__	__	__	
मं	ंक	की	ी_	__	
पॉ	ॉइ	इं	ंट	ट_	
,_	__	__	__	__	
कस	सौ	ौल	ली	ी_	
भट	ट्	्ट	टी	ी_	
और	र_	__	__	__	
गो	ोर	रख	खा	ा_	
फो	ोर	र्	्ट	ट_	
(_	__	__	__	__	
कि	िल	ला	ा_	__	
)_	__	__	__	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
भी	ी_	__	__	__	
जा	ान	ना	ा_	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पर	र्	्य	यट	टक	
वन	न्	्य	यज	जी	
को	ो_	__	__	__	
प्	्र	रा	ाक	कृ	
मा	ाह	हौ	ौल	ल_	
मे	ें	ं_	__	__	
दे	ेख	खक	कर	र_	
रो	ोम	मा	ां	ंच	
हो	ोत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पर	र्	्य	यट	टक	
को	ो_	__	__	__	
पा	ार	र्	्क	को	
मे	ें	ं_	__	__	
बि	ित	ता	ाए	ए_	
हु	ुए	ए_	__	__	
पल	ल_	__	__	__	
या	ाद	दग	गा	ार	
बन	ना	ा_	__	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

भा	ार	रत	त_	__	
मे	ें	ं_	__	__	
कई	ई_	__	__	__	
सु	ुं	ंद	दर	र_	
और	र_	__	__	__	
प्	्र	रा	ाक	कृ	
वन	न्	्य	यज	जी	
पा	ार	र्	्क	क_	
है	ै_	__	__	__	
जो	ो_	__	__	__	
पर	र्	्य	यट	टक	
को	ो_	__	__	__	
आक	कर	र्	्ष	षि	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

रा	ाज	जस	स्	्थ	
का	ा_	__	__	__	
रण	णथ	थं	ंभ	भौ	
ने	ेश	शन	नल	ल_	
पा	ार	र्	्क	क_	
दु	ुन	नि	िय	या	
के	े_	__	__	__	
पर	र्	्य	यट	टक	
मे	ें	ं_	__	__	
लो	ोक	कप	प्	्र	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
पर	र्	्य	यट	टक	
वन	न्	्य	यज	जी	
को	ो_	__	__	__	
प्	्र	रा	ाक	कृ	
मा	ाह	हौ	ौल	ल_	
मे	ें	ं_	__	__	
दे	ेख	खक	कर	र_	
का	ाफ	फी	ी_	__	
रो	ोम	मा	ां	ंच	
हो	ोत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

रण	णथ	थं	ंभ	भौ	
रा	ाष	ष्	्ट	ट्	
अभ	भ्	्य	या	ार	
अप	पन	नी	ी_	__	
खू	ूब	बस	सू	ूर	
,_	__	__	__	__	
वि	िश	शा	ाल	ल_	
पर	रि	िक	क्	्ष	
और	र_	__	__	__	
बा	ाघ	घो	ों	ं_	
की	ी_	__	__	__	
मौ	ौज	जू	ूद	दग	
के	े_	__	__	__	
का	ार	रण	ण_	__	
वि	िश	श्	्व	व_	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कॉ	ॉर	र्	्ब	बे	
के	े_	__	__	__	
मन	नो	ोह	हा	ार	
दृ	ृश	श्	्य	य_	
और	र_	__	__	__	
खू	ूब	बस	सू	ूर	
नज	जा	ार	रे	ें	
को	ो_	__	__	__	
दे	ेख	खक	कर	र_	
आप	प_	__	__	__	
मग	ग्	्न	नम	मु	
हो	ो_	__	__	__	
जा	ाए	एं	ंग	गे	
।_	__	__	__	__	
EO	OL	L_	__	__	

जि	िम	म_	__	__	
कॉ	ॉर	र्	्ब	बे	
पा	ार	र्	्क	क_	
ने	ेश	शन	नल	ल_	
पा	ार	र्	्क	क_	
कु	ुम	मा	ाऊ	ऊ_	
पह	हा	ाड़	ड़ि	िय	
के	े_	__	__	__	
अद	द्	्भ	भू	ूत	
प्	्र	रा	ाक	कृ	
दृ	ृश	श्	्य	यो	
से	े_	__	__	__	
घि	िर	रे	े_	__	
जं	ंग	गल	ल_	__	
और	र_	__	__	__	
रा	ाम	मग	गं	ंग	
नद	दी	ी_	__	__	
के	े_	__	__	__	
कि	िन	ना	ार	रे	
बस	सा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जि	िम	म_	__	__	
कॉ	ॉर	र्	्ब	बे	
ने	ेश	शन	नल	ल_	
पा	ार	र्	्क	क_	
भा	ार	रत	त_	__	
मे	ें	ं_	__	__	
सब	बस	से	े_	__	
पु	ुर	रा	ान	ना	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

उत	त्	्त	तर	रा	
का	ा_	__	__	__	
जि	िम	म_	__	__	
कॉ	ॉर	र्	्ब	बे	
रि	िज	जर	र्	्व	
दे	ेश	श_	__	__	
के	े_	__	__	__	
सब	बस	से	े_	__	
लो	ोक	कप	प्	्र	
टा	ाइ	इग	गर	र_	
रि	िज	जर	र्	्व	
मे	ें	ं_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

उत	त्	्त	तर	रा	
के	े_	__	__	__	
नै	ैन	नी	ीत	ता	
के	े_	__	__	__	
नि	िक	कट	ट_	__	
हि	िम	मा	ाल	लय	
की	ी_	__	__	__	
पह	हा	ाड़	ड़ि	िय	
पर	र_	__	__	__	
स्	्थ	थि	ित	त_	
जि	िम	म_	__	__	
का	ार	र्	्ब	बे	
ने	ेश	शन	नल	ल_	
पा	ार	र्	्क	क_	
वि	िभ	भि	िन	न्	
वन	न्	्य	यज	जी	
और	र_	__	__	__	
वन	नस	स्	्प	पत	
के	े_	__	__	__	
लि	िए	ए_	__	__	
जा	ान	ना	ा_	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इन	न_	__	__	__	
जा	ान	नव	वर	रो	
को	ो_	__	__	__	
नज	जद	दी	ीक	क_	
से	े_	__	__	__	
दे	ेख	खक	कर	र_	
आप	प_	__	__	__	
रो	ोम	मा	ां	ंच	
हो	ो_	__	__	__	
जा	ाए	एं	ंग	गे	
।_	__	__	__	__	
EO	OL	L_	__	__	

बा	ां	ंध	धव	वग	
अभ	भय	या	ार	रण	
मध	ध्	्य	य_	__	
प्	्र	रद	दे	ेश	
का	ा_	__	__	__	
सब	बस	से	े_	__	
प्	्र	रस	सि	िद	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
मे	ें	ं_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
उद	द्	्य	या	ान	
अप	पन	ने	े_	__	
बा	ाघ	घो	ों	ं_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
वि	िश	श्	्व	व_	
भर	र_	__	__	__	
मे	ें	ं_	__	__	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

प्	्र	रस	सि	िद	
सफ	फे	ेद	द_	__	
ची	ीत	ते	े_	__	
की	ी_	__	__	__	
खो	ोज	ज_	__	__	
यह	ही	ीं	ं_	__	
हु	ुई	ई_	__	__	
थी	ी_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
खा	ास	सत	तौ	ौर	
पर	र_	__	__	__	
टा	ाइ	इग	गर	र_	
क्	्ष	षे	ेत	त्	
के	े_	__	__	__	
रू	ूप	प_	__	__	
मे	ें	ं_	__	__	
जा	ान	ना	ा_	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बा	ाघ	घो	ों	ं_	
से	े_	__	__	__	
रू	ूब	बर	रू	ू_	
हो	ोन	ने	े_	__	
की	ी_	__	__	__	
यह	ह_	__	__	__	
सह	ही	ी_	__	__	
जग	गह	ह_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सड़	ड़क	को	ों	ं_	
के	े_	__	__	__	
बी	ीच	चो	ों	ंब	
बा	ाघ	घो	ों	ं_	
को	ो_	__	__	__	
आस	सा	ान	नी	ी_	
से	े_	__	__	__	
दे	ेख	खा	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बा	ां	ंध	धव	वग	
का	ा_	__	__	__	
वन	न_	__	__	__	
क्	्ष	षे	ेत	त्	
फ्	्ल	लो	ोर	रा	
और	र_	__	__	__	
फन	ना	ा_	__	__	
की	ी_	__	__	__	
प्	्र	रज	जा	ात	
से	े_	__	__	__	
भर	रा	ा_	__	__	
हु	ुआ	आ_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जं	ंग	गल	ल_	__	
मे	ें	ं_	__	__	
नी	ील	लग	गा	ाय	
और	र_	__	__	__	
चि	िं	ंक	का	ार	
सह	हि	ित	त_	__	
हर	र_	__	__	__	
तर	रह	ह_	__	__	
के	े_	__	__	__	
वन	न्	्य	यप	प्	
और	र_	__	__	__	
पे	ेड़	ड़_	__	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पे	ेर	रि	िय	या	
ने	ेश	शन	नल	ल_	
पा	ार	र्	्क	क_	
(_	__	__	__	__	
पे	ेर	रि	िय	या	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
)_	__	__	__	__	
दक	क्	्ष	षि	िण	
भा	ार	रत	त_	__	
का	ा_	__	__	__	
एक	क_	__	__	__	
खू	ूब	बस	सू	ूर	
और	र_	__	__	__	
प्	्र	रस	सि	िद	
पा	ार	र्	्क	क_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
नद	दी	ी_	__	__	
के	े_	__	__	__	
गह	हर	रे	े_	__	
जल	ल_	__	__	__	
मे	ें	ं_	__	__	
हा	ाथ	थी	ी_	__	
तै	ैर	रन	ने	े_	
का	ा_	__	__	__	
अभ	भ्	्य	या	ास	
भी	ी_	__	__	__	
कर	रत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

नी	ील	ल_	__	__	
गा	ाय	य_	__	__	
,_	__	__	__	__	
सा	ाम	म्	्भ	भर	
,_	__	__	__	__	
भा	ाल	लू	ू_	__	
,_	__	__	__	__	
ची	ीत	ता	ा_	__	
तथ	था	ा_	__	__	
ते	ें	ंद	दु	ुआ	
आद	दि	ि_	__	__	
जं	ंग	गल	ली	ी_	
जा	ान	नव	वर	र_	
भी	ी_	__	__	__	
यह	हा	ां	ं_	__	
पा	ाए	ए_	__	__	
जा	ात	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

का	ाज	जी	ीर	रं	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
न_	__	__	__	__	
के	ेव	वल	ल_	__	
भा	ार	रत	त_	__	
मे	ें	ं_	__	__	
वर	रन	न_	__	__	
पू	ूर	रे	े_	__	
वि	िश	श्	्व	व_	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
सी	ीं	ंग	ग_	__	
वा	ाल	ले	े_	__	
गै	ैं	ंड	डे	े_	
(_	__	__	__	__	
रा	ाइ	इन	नो	ोस	
,_	__	__	__	__	
यू	ून	नी	ीक	को	
)_	__	__	__	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पश	श्	्च	चि	िम	
बं	ंग	गा	ाल	ल_	
रा	ाच	च्	्य	य_	
के	े_	__	__	__	
दक	क्	्ष	षि	िण	
भा	ाग	ग_	__	__	
मे	ें	ं_	__	__	
गं	ंग	गा	ा_	__	
नद	दी	ी_	__	__	
के	े_	__	__	__	
सु	ुं	ंद	दर	रव	
डे	ेल	ल्	्ट	टा	
क्	्ष	षे	ेत	त्	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
है	ै_	__	__	__	
सु	ुं	ंद	दर	रव	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
।_	__	__	__	__	
EO	OL	L_	__	__	

सु	ुं	ंद	दर	रव	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
रॉ	ॉय	यल	ल_	__	
बं	ंग	गा	ाल	ल_	
टा	ाइ	इग	गर	र_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
प्	्र	रस	सि	िद	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पश	श्	्च	चि	िम	
बं	ंग	गा	ाल	ल_	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
यह	ह_	__	__	__	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
मै	ैं	ंग	ग्	्र	
(_	__	__	__	__	
सु	ुं	ंद	दर	री	
)_	__	__	__	__	
जं	ंग	गल	ल_	__	
से	े_	__	__	__	
घि	िर	रा	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
नम	मक	की	ीन	न_	
पा	ान	नी	ी_	__	
मे	ें	ं_	__	__	
रह	हन	ने	े_	__	
वा	ाल	ले	े_	__	
मग	गर	रम	मच	च्	
भी	ी_	__	__	__	
मि	िल	लत	ते	े_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मध	ध्	्य	य_	__	
प्	्र	रद	दे	ेश	
अप	पन	ने	े_	__	
रा	ाष	ष्	्ट	ट्	
पा	ार	र्	्क	को	
और	र_	__	__	__	
जं	ंग	गल	लो	ों	
के	े_	__	__	__	
लि	िए	ए_	__	__	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मध	ध्	्य	यप	प्	
के	े_	__	__	__	
मं	ंड	डल	ला	ा_	
जि	िल	ले	ें	ं_	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
वि	िश	श्	्व	व_	
प्	्र	रस	सि	िद	
का	ान	न्	्ह	हा	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
की	ी_	__	__	__	
प्	्र	रा	ाक	कृ	
सु	ुं	ंद	दर	रत	
पर	र्	्य	यट	टक	
के	े_	__	__	__	
बी	ीच	च_	__	__	
हम	मे	ेश	शा	ा_	
से	े_	__	__	__	
आक	कर	र्	्ष	षण	
का	ा_	__	__	__	
के	ें	ंद	द्	्र	
रह	हा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

का	ान	न्	्ह	हा	
एश	शि	िय	या	ा_	
के	े_	__	__	__	
सब	बस	से	े_	__	
सु	ुर	रम	म्	्य	
और	र_	__	__	__	
खू	ूब	बस	सू	ूर	
वन	न्	्य	यज	जी	
रि	िज	जर	र्	्व	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
उद	द्	्य	या	ान	
मे	ें	ं_	__	__	
पक	क्	्ष	षि	िय	
के	े_	__	__	__	
अल	ला	ाव	वा	ा_	
कई	ई_	__	__	__	
प्	्र	रज	जा	ात	
के	े_	__	__	__	
सु	ुं	ंद	दर	र_	
फू	ूल	ल_	__	__	
और	र_	__	__	__	
खू	ूब	बस	सू	ूर	
ति	ित	तल	लि	िय	
भी	ी_	__	__	__	
दे	ेख	खी	ी_	__	
जा	ा_	__	__	__	
सक	कत	ती	ी_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

19	97	74	4_	__	
मे	ें	ं_	__	__	
स्	्थ	था	ाप	पि	
भा	ार	रत	त_	__	
के	े_	__	__	__	
सब	बस	से	े_	__	
पु	ुर	रा	ान	ने	
टा	ाई	ईग	गर	र_	
रि	िज	जर	र्	्व	
मे	ें	ं_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
बे	ेत	तल	ला	ा_	
रा	ाष	ष्	्ट	ट्	
पा	ार	र्	्क	क_	
है	ै_	__	__	__	
जि	िस	से	े_	__	
पू	ूर	र्	्व	व_	
मे	ें	ं_	__	__	
पल	ला	ाम	मू	ू_	
टा	ाई	ईग	गर	र_	
रि	िज	जर	र्	्व	
के	े_	__	__	__	
ना	ाम	म_	__	__	
से	े_	__	__	__	
जा	ान	ना	ा_	__	
जा	ात	ता	ा_	__	
था	ा_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
बड़	ड़ी	ी_	__	__	
सं	ंख	ख्	्य	या	
मे	ें	ं_	__	__	
बा	ाघ	घ_	__	__	
,_	__	__	__	__	
ते	ें	ंद	दु	ुआ	
,_	__	__	__	__	
जं	ंग	गल	ली	ी_	
भा	ाल	लू	ू_	__	
,_	__	__	__	__	
बं	ंद	दर	र_	__	
,_	__	__	__	__	
सा	ां	ंभ	भर	र_	
,_	__	__	__	__	
नी	ील	लग	गा	ाय	
,_	__	__	__	__	
मो	ोर	र_	__	__	
और	र_	__	__	__	
ची	ीत	तल	ल_	__	
आद	दि	ि_	__	__	
जा	ान	नव	वर	र_	
पा	ाए	ए_	__	__	
जा	ात	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
वन	न_	__	__	__	
मे	ें	ं_	__	__	
97	70	0_	__	__	
प्	्र	रज	जा	ात	
के	े_	__	__	__	
पौ	ौध	धे	े_	__	
,_	__	__	__	__	
17	74	4_	__	__	
प्	्र	रज	जा	ात	
के	े_	__	__	__	
पक	क्	्ष	षी	ी_	
,_	__	__	__	__	
39	9_	__	__	__	
स्	्त	तन	नध	धा	
,_	__	__	__	__	
18	80	0_	__	__	
प्	्र	रज	जा	ात	
के	े_	__	__	__	
औष	षध	धी	ीय	य_	
पौ	ौध	धे	े_	__	
पा	ाए	ए_	__	__	
जा	ात	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बे	ेत	तल	ला	ा_	
अभ	भय	या	ार	रण	
शु	ुर	रू	ू_	__	
से	े_	__	__	__	
ही	ी_	__	__	__	
पर	र्	्य	यट	टक	
के	े_	__	__	__	
बी	ीच	च_	__	__	
आर	र्	्क	कष	षण	
का	ा_	__	__	__	
के	ें	ंद	द्	्र	
रह	हा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
के	े_	__	__	__	
गर	र्	्म	म_	__	
पा	ान	नी	ी_	__	
के	े_	__	__	__	
झर	रन	ने	े_	__	
मे	ें	ं_	__	__	
स्	्न	ना	ान	न_	
कर	रन	ने	े_	__	
का	ा_	__	__	__	
अप	पन	ना	ा_	__	
अल	लग	ग_	__	__	
ही	ी_	__	__	__	
मज	जा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गि	िर	र_	__	__	
वन	न_	__	__	__	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
और	र_	__	__	__	
अभ	भय	या	ार	रण	
गु	ुज	जर	रा	ात	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गि	िर	र_	__	__	
वन	न_	__	__	__	
रा	ाष	ष्	्ट	ट्	
उद	द्	्य	या	ान	
बा	ाघ	घ_	__	__	
सं	ंर	रक	क्	्ष	
क्	्ष	षे	ेत	त्	
है	ै_	__	__	__	
जो	ो_	__	__	__	
एश	शि	िय	या	ाई	
बब	ब्	्ब	बर	र_	
शे	ेर	र_	__	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
वि	िश	श्	्व	व_	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	हा	ां	ं_	__	
की	ी_	__	__	__	
वन	नस	स्	्प	पत	
मे	ें	ं_	__	__	
सा	ाग	गौ	ौन	न_	
,_	__	__	__	__	
सा	ाल	ल_	__	__	
और	र_	__	__	__	
ढा	ाक	क_	__	__	
(_	__	__	__	__	
ब्	्य	यू	ूट	टि	
फ्	्र	रो	ों	ंड	
)_	__	__	__	__	
जै	ैस	से	े_	__	
पर	र्	्ण	णप	पा	
वृ	ृक	क्	्ष	षो	
सह	हि	ित	त_	__	
का	ां	ंट	टे	ेद	
जं	ंग	गल	ल_	__	
शा	ाम	मि	िल	ल_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
आप	प_	__	__	__	
फू	ूल	लो	ों	ं_	
के	े_	__	__	__	
शौ	ौक	की	ीन	न_	
है	ै_	__	__	__	
और	र_	__	__	__	
कश	श्	्म	मी	ीर	
जा	ान	ने	े_	__	
का	ा_	__	__	__	
प्	्ल	ला	ान	न_	
बन	ना	ा_	__	__	
रह	हे	े_	__	__	
है	ै_	__	__	__	
तो	ो_	__	__	__	
दे	ेर	र_	__	__	
मत	त_	__	__	__	
कर	रि	िए	ए_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

क्	्य	यो	ों	ंक	
यह	हा	ां	ं_	__	
दक	क्	्ष	षि	िण	
एश	शि	िय	या	ा_	
का	ा_	__	__	__	
सब	बस	से	े_	__	
बड़	ड़े	े_	__	__	
ट्	्य	यू	ूल	लि	
गा	ार	र्	्ड	डन	
है	ै_	__	__	__	
जह	हा	ां	ं_	__	
हर	र_	__	__	__	
सा	ाल	ल_	__	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
इस	स_	__	__	__	
सा	ाल	ल_	__	__	
भी	ी_	__	__	__	
अप	प्	्र	रै	ैल	
के	े_	__	__	__	
पह	हल	ले	े_	__	
सप	प्	्त	ता	ाह	
मे	ें	ं_	__	__	
ट्	्य	यू	ूल	लि	
फे	ेस	स्	्ट	टि	
का	ा_	__	__	__	
आय	यो	ोज	जन	न_	
हो	ोग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	प_	__	__	__	
इस	स_	__	__	__	
गा	ार	र्	्ड	डन	
मे	ें	ं_	__	__	
ट्	्य	यू	ूल	लि	
फू	ूल	ल_	__	__	
के	े_	__	__	__	
रं	ंग	ग_	__	__	
बि	िर	रं	ंग	गे	
कई	ई_	__	__	__	
प्	्र	रज	जा	ात	
को	ो_	__	__	__	
कर	री	ीब	ब_	__	
से	े_	__	__	__	
दे	ेख	ख_	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
और	र_	__	__	__	
अप	पन	ने	े_	__	
कै	ैम	मर	रे	े_	
मे	ें	ं_	__	__	
कै	ैद	द_	__	__	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जब	बर	रव	वा	ान	
पह	हा	ाड़	ड़ि	िय	
की	ी_	__	__	__	
तल	लह	हट	टी	ी_	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
ट्	्य	यू	ूल	लि	
गा	ार	र्	्ड	डन	
मे	ें	ं_	__	__	
खि	िल	लन	ने	े_	
वा	ाल	ले	े_	__	
सफ	फे	ेद	द_	__	
,_	__	__	__	__	
पी	ील	ले	े_	__	
,_	__	__	__	__	
नी	ील	ले	े_	__	
,_	__	__	__	__	
ला	ाल	ल_	__	__	
,_	__	__	__	__	
गु	ुल	ला	ाब	बी	
,_	__	__	__	__	
ऑर	रे	ें	ंज	ज_	
आद	दी	ी_	__	__	
रं	ंग	ग_	__	__	
के	े_	__	__	__	
ट्	्य	यू	ूल	लि	
के	े_	__	__	__	
फू	ूल	ल_	__	__	
आप	पक	को	ो_	__	
मो	ोह	हि	ित	त_	
कर	र_	__	__	__	
दे	ेग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सत	तर	रं	ंग	गी	
ट्	्य	यू	ूल	लि	
के	े_	__	__	__	
फू	ूल	लो	ों	ं_	
से	े_	__	__	__	
सज	जा	ा_	__	__	
ट्	्य	यू	ूल	लि	
गा	ार	र्	्ड	डन	
घा	ाट	टी	ी_	__	
मे	ें	ं_	__	__	
पर	र्	्य	यट	टक	
के	े_	__	__	__	
आक	कर	र्	्ष	षण	
का	ा_	__	__	__	
एक	क_	__	__	__	
प्	्र	रम	मु	ुख	
के	ें	ंद	द्	्र	
बन	न_	__	__	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कश	श्	्म	मी	ीर	
अप	पन	नी	ी_	__	
प्	्र	रा	ाक	कृ	
सु	ुं	ंद	दर	रत	
के	े_	__	__	__	
लि	िए	ए_	__	__	
प्	्र	रस	सि	िद	
है	ै_	__	__	__	
और	र_	__	__	__	
ट्	्य	यू	ूल	लि	
इस	सक	की	ी_	__	
सौ	ौं	ंद	दर	र्	
को	ो_	__	__	__	
कई	ई_	__	__	__	
गु	ुण	णा	ा_	__	
बढ	ढ़	़ा	ा_	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

श्	्र	री	ीन	नग	
मे	ें	ं_	__	__	
एश	शि	िय	या	ा_	
का	ा_	__	__	__	
सब	बस	से	े_	__	
बड़	ड़ा	ा_	__	__	
ट्	्य	यू	ूल	लि	
गा	ार	र्	्ड	डन	
सि	िर	रा	ाज	ज_	
बा	ाग	ग_	__	__	
चे	ेश	श्	्म	मश	
का	ा_	__	__	__	
इं	ंद	दि	िर	रा	
गा	ां	ंध	धी	ी_	
मे	ेम	मो	ोर	रि	
ट्	्य	यू	ूल	लि	
गा	ार	र्	्ड	डन	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हर	र_	__	__	__	
सा	ाल	ल_	__	__	
यह	हा	ां	ं_	__	
अप	प्	्र	रै	ैल	
से	े_	__	__	__	
पह	हल	ले	े_	__	
सप	प्	्त	ता	ाह	
से	े_	__	__	__	
दू	ूस	सर	रे	े_	
सप	प्	्त	ता	ाह	
तक	क_	__	__	__	
ट्	्य	यू	ूल	लि	
फे	ेस	स्	्ट	टि	
का	ा_	__	__	__	
आय	यो	ोज	जन	न_	
कि	िय	या	ा_	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
पर	र्	्य	यट	टक	
के	े_	__	__	__	
बी	ीच	च_	__	__	
बह	हु	ुत	त_	__	
लो	ोक	कप	प्	्र	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फे	ेस	स्	्ट	टि	
मे	ें	ं_	__	__	
के	ेव	वल	ल_	__	
दे	ेश	श_	__	__	
के	े_	__	__	__	
पर	र्	्य	यट	टक	
ही	ी_	__	__	__	
